Date,Day,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,,,,
6/1/18,Fri,"2,695","6,862",3.19,0,812,216,35,4,"1,151",,Mon,332199,6388.4,
6/2/18,Sat,"2,499","5,710",2.65,0,"1,123",162,26,11,893,,Tue,349176,6714.9,
6/3/18,Sun,"2,908","12,163",5.65,0,648,244,20,34,"1,423",,Wed,323409,6219.4,
6/4/18,Mon,"2,775","10,262",4.83,0,"1,196",186,7,51,"1,203",,Thu,359540,6914.2,
6/5/18,Tue,"2,963","11,300",5.25,0,998,259,16,24,"1,411",,Fri,357632,6877.5,
6/6/18,Wed,"1,712",53,0.02,0,"1,000",6,0,0,22,,Sat,446928,8594.8,
6/7/18,Thu,"1,696",22,0.01,0,"1,440",0,0,0,0,,Sun,461101,8867.3,
6/8/18,Fri,"2,456","5,835",2.71,0,"1,217",194,24,5,996,,,,,
6/9/18,Sat,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/10/18,Sun,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/11/18,Mon,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/12/18,Tue,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/13/18,Wed,"1,689",0,0,0,"1,440",0,0,0,0,,#NUM!,,,
6/14/18,Thu,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/15/18,Fri,"1,689",0,0,0,"1,440",0,0,0,0,,256,,,
6/16/18,Sat,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/17/18,Sun,"1,689",0,0,0,"1,440",0,0,0,0,,0.7,0.3,0.881290899,
6/18/18,Mon,"1,689",0,0,0,"1,440",0,0,0,0,,0.67,0.33,0.914926373,
6/19/18,Tue,"1,689",0,0,0,"1,440",0,0,0,0,,0.75,0.25,0.811278124,0.863102249
6/20/18,Wed,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/21/18,Thu,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/22/18,Fri,"1,689",0,0,0,"1,440",0,0,0,0,,,,,
6/23/18,Sat,"1,900","5,835",2.71,0,"1,440",0,0,0,0,,,,,
6/24/18,Sun,"2,030","2,965",1.38,0,"1,324",116,0,0,453,,,,,
6/25/18,Mon,"2,593","6,890",3.2,0,727,292,0,0,"1,165",,,,,
6/26/18,Tue,"2,455","6,027",2.8,0,807,233,0,0,949,,,,,
6/27/18,Wed,"2,380","4,702",2.18,0,751,190,0,0,804,,,,,
6/28/18,Thu,"2,521","6,791",3.15,0,709,280,0,0,"1,084",,,,,
6/29/18,Fri,"2,353","5,680",2.64,0,787,219,0,0,843,,,,,
6/30/18,Sat,"2,692","7,610",3.53,0,458,302,0,0,"1,280",,,,,
7/1/18,Sun,"2,579","6,608",3.07,0,894,159,62,6,"1,067",,,,,
7/2/18,Mon,"2,347","5,106",2.37,0,659,158,25,0,797,,,,,
7/3/18,Tue,"2,598","6,769",3.14,0,729,207,33,9,"1,079",,,,,
7/4/18,Wed,"3,965","20,780",9.65,0,568,247,96,126,"2,714",,,,,
7/5/18,Thu,"2,303","4,516",2.1,0,893,191,0,0,729,,,,,
7/6/18,Fri,"2,582","6,987",3.24,0,662,276,13,1,"1,139",,,,,
7/7/18,Sat,"2,885","11,494",5.37,0,717,276,14,29,"1,452",,,,,
7/8/18,Sun,"2,944","10,983",5.13,0,600,226,34,45,"1,528",,,,,
7/9/18,Mon,"2,604","5,314",2.47,0,956,234,10,0,"1,029",,,,,
7/10/18,Tue,"2,962","6,499",3.02,0,751,211,90,17,"1,555",,,,,
7/11/18,Wed,"2,438","6,475",3.01,0,940,190,7,7,839,,,,,
7/12/18,Thu,"2,674","8,614",4,0,822,145,3,33,892,,,,,
7/13/18,Fri,"2,473","6,199",2.88,0,878,220,0,0,891,,,,,
7/14/18,Sat,"2,552","8,643",4.01,0,762,190,20,15,"1,055",,,,,
7/15/18,Sun,"3,027","9,850",4.57,0,695,250,50,32,"1,608",,,,,
7/16/18,Mon,"2,730","6,185",2.87,0,722,174,61,12,"1,191",,,,,
7/17/18,Tue,"2,804","10,935",5.39,0,792,169,4,62,"1,254",,,,,
7/18/18,Wed,"2,302","4,290",1.99,0,802,166,7,0,692,,,,,
7/19/18,Thu,"2,413","5,028",2.33,0,757,196,29,0,924,,,,,
7/20/18,Fri,"2,229","3,611",1.68,0,856,139,9,2,634,,,,,
7/21/18,Sat,"1,707",85,0.04,0,"1,437",3,0,0,15,,,,,
7/22/18,Sun,"3,193","12,091",5.61,0,611,278,87,29,"1,879",,,,,
7/23/18,Mon,"2,894","9,837",4.6,0,758,203,31,46,"1,441",,,,,
7/24/18,Tue,"2,601","8,551",3.97,0,810,201,20,23,"1,129",,,,,
7/25/18,Wed,"2,472","6,250",2.9,0,898,221,18,0,999,,,,,
7/26/18,Thu,"2,731","7,663",3.56,0,618,266,40,5,"1,314",,,,,
7/27/18,Fri,"2,428","6,047",2.81,0,855,219,0,0,885,,,,,
7/28/18,Sat,"3,161","13,220",6.31,0,819,199,12,75,"1,695",,,,,
7/29/18,Sun,"2,666","6,777",3.15,0,731,190,54,5,"1,188",,,,,
7/30/18,Mon,"2,271","4,058",1.88,0,719,165,9,3,712,,,,,
7/31/18,Tue,"2,367","5,249",2.42,0,955,206,0,0,808,,,,,
